data,total_lojas,sem_estoque,ate_15_dias,criticas_90_dias_ou_nunca,estoque_total,lojas_paga,cobertura_pct,com_credencial,contato_wpp,contato_email,sem_telefone,sem_email,so_telefone,so_email,ambos_contato,nenhum_contato,envios_email_total,envios_whatsapp_total,comunicada_email,comunicada_whatsapp,alvo_comunicacao,comunicados_do_alvo,cobertura_comunicacao_pct,estoque_ate_10,novo_fluxo,credencial_ok_obs,sem_credenciais_obs
2026-08-31,1393,770,420,858,21821,1058,30.2,1000,579,579,,,,,,,,,,,,,,,,,
2026-09-01,1398,764,437,854,22315,1119,31.3,1005,982,840,616.0,616.0,0.0,0.0,782.0,616.0,0.0,0.0,0.0,0.0,682.0,0.0,0.0,931.0,445.0,747.0,47.0
